Mateřská škola Antonie s.r.o.#Pražská třída 591/21, Kukleny, 500 04 Hradec Králové#24304816#691004625#Jitka Hrochová#společnost s ručením omezeným#Není uveden#181041154#A00#Mateřská škola#Hradec Králové#Pražská třída#591.0#21.0#Kukleny#50004.0##20#Platné#181041162.0#L13#Školní jídelna - výdejna#Hradec Králové#Pražská třída#591.0#21.0#Kukleny#50004.0##29#Platné#####################################################################################KÚ Královéhradeckého kraje#(50.2074055, 15.7990968)#Královéhradecký kraj
ABLE mateřská škola a znalecká a realitní a.s.#Spojovací 61, Dolní Staré Město, 541 01 Trutnov#27529410#691005508#Klára Danielis#akciová společnost#Není uveden#181048566#A00#Mateřská škola#Trutnov#Spojovací#61.0##Dolní Staré Město#54101.0##35#Platné#181048574.0#L13#Školní jídelna - výdejna#Trutnov#Spojovací#61.0##Dolní Staré Město#54101.0##45#Platné#####################################################################################KÚ Královéhradeckého kraje#(50.5705663, 15.896335)#Královéhradecký kraj
Soukromá mateřská škola Spirálka, s. r. o.#Sv. Čecha 266, Valdické Předměstí, 506 01 Jičín#2806258#691006725#Zdeňka Petrová#společnost s ručením omezeným#Není uveden#181057590#A00#Mateřská škola#Jičín#Sv. Čecha#266.0##Valdické Předměstí#50601.0##25#Platné#181057603.0#L13#Školní jídelna - výdejna#Jičín#Sv. Čecha#266.0##Valdické Předměstí#50601.0##35#Platné#####################################################################################KÚ Královéhradeckého kraje#(50.437881, 15.3598681)#Královéhradecký kraj
Mateřská škola Začít spolu#Kladská 164, Velká Ves, 550 01 Broumov#3189872#691006911#Mgr. Lenka Kurová#školská právnická osoba#Lenka Kurová, Havlíčkova 92, Velká Ves, 550 01 Broumov#181058944#A00#Mateřská škola#Broumov#Kladská#164.0##Velká Ves#55001.0##28#Platné#181061244.0#L13#Školní jídelna - výdejna#Broumov#Kladská#164.0##Velká Ves#55001.0##25#Platné#####################################################################################KÚ Královéhradeckého kraje#(50.5802413, 16.3416388)#Královéhradecký kraj
Mateřská škola Studánka u sv. Jakuba#Manželů Burdychových 245, 549 41 Červený Kostelec#3660265#691007403#Jaroslava Ježková, DiS.#školská právnická osoba#Oblastní charita Červený Kostelec, 5. května 1170, 549 41 Červený Kostelec#181064227#A00#Mateřská škola#Červený Kostelec#Manželů Burdychových#245.0##Červený Kostelec#54941.0##20#Platné#181064235.0#L13#Školní jídelna - výdejna#Červený Kostelec#Manželů Burdychových#245.0##Červený Kostelec#54941.0##24#Platné#####################################################################################KÚ Královéhradeckého kraje#(50.4724693, 16.0958015)#Královéhradecký kraj
Montessori mateřská škola a základní škola s.r.o.#Jiráskova 461, 547 01 Náchod#3289681#691007977#Mgr. Pavla Urbanovská#společnost s ručením omezeným#Není uveden#181068346#B00#Základní škola#Náchod#Jiráskova#461.0##Náchod#54701.0##55#Platné#181070570.0#A00#Mateřská škola#Náchod#Jiráskova#461.0##Náchod#54701.0##12#Platné#181070588.0#G21#Školní družina#Náchod#Jiráskova#461.0##Náchod#54701.0##23#Platné#181070596.0#L13#Školní jídelna - výdejna#Náchod#Jiráskova#461.0##Náchod#54701.0##77#Platné#181134012.0#A15#Mateřská škola (lesní)#Náchod#Jiráskova#461.0##Náchod#54701.0##15#Platné#################################################KÚ Královéhradeckého kraje#(50.4160151, 16.1572537)#Královéhradecký kraj
Soukromá mateřská škola a jesle Pastelka, s.r.o.#Husova 110, Valdické Předměstí, 506 01 Jičín#28820606#691010196#Bc. Lucie Bělík#společnost s ručením omezeným#Není uveden#181085712#A00#Mateřská škola#Jičín#Ruská#54.0##Pražské Předměstí#50601.0##20#Platné#181085721.0#L13#Školní jídelna - výdejna#Jičín#Ruská#54.0##Pražské Předměstí#50601.0##25#Platné#####################################################################################KÚ Královéhradeckého kraje#(50.4362724, 15.3578741)#Královéhradecký kraj
Základní škola a Lesní mateřská škola Přátelství, z. ú.#Prostřední Lánov 247, 543 41 Lánov#1898159#691010633#Linda Zelenková#ústav#Není uveden#181087103#B00#Základní škola#Vrchlabí#Pražská#858.0##Vrchlabí#54301.0##55#Platné#181088002.0#A15#Mateřská škola (lesní)#Lánov##247.0##Prostřední Lánov#54341.0##16#Platné#181114186.0#G21#Školní družina#Vrchlabí#Pražská#858.0###54301.0##20#Platné#########################################################################KÚ Královéhradeckého kraje#(50.6209776, 15.660885)#Královéhradecký kraj
Lesní mateřská škola Lesokruh#Na obci 196, 503 46   Třebechovice pod Orebem#10983431#691014485#Bc. Tereza Jarkovská, DiS.#školská právnická osoba#Lesokruh, z.s., Na obci 196, 503 46   Třebechovice pod Orebem#181118068#A15#Mateřská škola (lesní)#Třebechovice pod Orebem#Na obci#196.0###50346.0##18#Platné#181120402.0#L12#Školní jídelna - vývařovna#Třebechovice pod Orebem#Borská#1136.0###50346.0##60#Platné#181120429.0#L15#Výdejna lesní mateřské školy#Třebechovice pod Orebem#Na obci#196.0###50346.0##24#Platné#########################################################################KÚ Královéhradeckého kraje#(50.199287, 15.9929208)#Královéhradecký kraj
Mateřská škola Velrybka#Tylova 372, 516 01   Rychnov nad Kněžnou#18032664#691016453#Věra Musilová, DiS.#školská právnická osoba#Sbor jednoty bratrské , Tylova 372, 516 01 Rychnov nad Kněžnou#181133661#A00#Mateřská škola#Rychnov nad Kněžnou#Tylova#372.0###51601.0##15#Platné#181133679.0#L13#Školní jídelna - výdejna#Rychnov nad Kněžnou#Tylova#372.0###51601.0##25#Platné#####################################################################################KÚ Královéhradeckého kraje#(50.1649438, 16.2741463)#Královéhradecký kraj
První soukromá základní škola v Hradci Králové, s.r.o.#Vocelova 1334/9, Pražské Předměstí, 500 02 Hradec Králové#25262092#600001466#Mgr. Svatava Černá#společnost s ručením omezeným#Není uveden#43475621#B00#Základní škola#Hradec Králové#Vocelova#1334.0#9.0#Pražské Předměstí#50002.0##180#Platné#110011422.0#G21#Školní družina#Hradec Králové#Vocelova#1334.0#9.0#Pražské Předměstí#50002.0##100#Platné#####################################################################################KÚ Královéhradeckého kraje#(50.217781, 15.8153194)#Královéhradecký kraj
Základní škola Mozaika, o.p.s. Rychnov nad Kněžnou#U Stadionu 1166, 516 01 Rychnov nad Kněžnou#25918125#600001474#Mgr. Kamila Zemanová Stieberová#obecně prospěšná společnost#Není uveden#191817#B00#Základní škola#Rychnov nad Kněžnou#U Stadionu#1166.0##Rychnov nad Kněžnou#51601.0##150#Platné#110011465.0#G21#Školní družina#Rychnov nad Kněžnou#U Stadionu#1166.0##Rychnov nad Kněžnou#51601.0##50#Platné#168102404.0#G22#Školní klub#Rychnov nad Kněžnou#U Stadionu#1166.0##Rychnov nad Kněžnou#51601.0##38#Platné#########################################################################KÚ Královéhradeckého kraje#(50.1648638, 16.2793325)#Královéhradecký kraj
Církevní základní škola Borohrádek#Nádražní 233, 517 24 Borohrádek#42887941#600001482#Mgr. Jitka Kadrmasová#školská právnická osoba#Biskupství královéhradecké, Velké náměstí 35/44, 500 01 Hradec Králové#42887941#B00#Základní škola#Borohrádek#Nádražní#233.0##Borohrádek#51724.0##75#Platné#110011414.0#G21#Školní družina#Borohrádek#Nádražní#233.0##Borohrádek#51724.0##30#Platné#####################################################################################KÚ Královéhradeckého kraje#(50.0961729, 16.0909224)#Královéhradecký kraj
Základní škola, Nový Bydžov, F. Palackého 1240#F. Palackého 1240, 504 01 Nový Bydžov#70837538#600023982#Mgr. Lenka Lusková, DiS.#příspěvková organizace#Královéhradecký kraj, Pivovarské náměstí 1245/2, 500 03 Hradec Králové#102078378#B00#Základní škola#Nový Bydžov#F. Palackého#1240.0##Nový Bydžov#50401.0##80#Platné#110010540.0#G21#Školní družina#Nový Bydžov#F. Palackého#1240.0##Nový Bydžov#50401.0##12#Platné#150010311.0#G22#Školní klub#Nový Bydžov#F. Palackého#1240.0##Nový Bydžov#50401.0##14#Platné#110010558.0#L13#Školní jídelna - výdejna#Nový Bydžov#F. Palackého#1240.0##Nový Bydžov#50401.0##50#Platné#############################################################KÚ Královéhradeckého kraje#(50.2436513, 15.4939588)#Královéhradecký kraj
Střední škola řemesel a Základní škola, Hořice#Havlíčkova 54, 508 01 Hořice#87998#600024113#Mgr. Jiří Kopecký#příspěvková organizace#Královéhradecký kraj, Pivovarské náměstí 1245/2, 500 03 Hradec Králové#87998#C00#Střední škola#Hořice#Havlíčkova#54.0##Hořice#50801.0##192#Platné#103378014.0#H21#Internát#Hořice#Havlíčkova#54.0##Hořice#50801.0##70#Platné#102754845.0#L11#Školní jídelna#Hořice#Havlíčkova#54.0##Hořice#50801.0##150#Platné#117300403.0#G21#Školní družina#Hořice#Husova#11.0##Hořice#50801.0##18#Platné#102206538.0#B00#Základní škola#Hořice#Husova#11.0##Hořice#50801.0##133#Platné#################################################KÚ Královéhradeckého kraje#(50.3679138, 15.6283738)#Královéhradecký kraj
Základní škola a Praktická škola, Broumov#Kladská 164, Velká Ves, 550 01 Broumov#70836469#600024121#Mgr. Petra Pancnerová#příspěvková organizace#Královéhradecký kraj, Pivovarské náměstí 1245/2, 500 03 Hradec Králové#102266069#B00#Základní škola#Broumov#Kladská#164.0##Velká Ves#55001.0##120#Platné#110011589.0#G21#Školní družina#Broumov#Kladská#164.0##Velká Ves#55001.0##25#Platné#110200586.0#L11#Školní jídelna#Broumov#Kladská#164.0##Velká Ves#55001.0##300#Platné#181093626.0#C00#Střední škola#Broumov#Kladská#164.0##Velká Ves#55001.0##19#Platné#############################################################KÚ Královéhradeckého kraje#(50.5802413, 16.3416388)#Královéhradecký kraj
Dětský domov, Základní škola speciální a Praktická škola, Jaroměř#Palackého 142, Jakubské Předměstí, 551 01 Jaroměř#48623733#600024164#Mgr. Taťána Kánská#příspěvková organizace#Královéhradecký kraj, Pivovarské náměstí 1245/2, 500 03 Hradec Králové#102718563#B00#Základní škola#Jaroměř#Palackého#142.0##Jakubské Předměstí#55101.0##54#Platné#110011619.0#J11#Dětský domov#Jaroměř#Palackého#142.0##Jakubské Předměstí#55101.0##40#Platné#110011627.0#L11#Školní jídelna#Jaroměř#Palackého#142.0##Jakubské Předměstí#55101.0##70#Platné#181064197.0#C00#Střední škola#Jaroměř#Palackého#142.0##Jakubské Předměstí#55101.0##10#Platné#############################################################KÚ Královéhradeckého kraje#(50.3571013, 15.9283088)#Královéhradecký kraj
Střední průmyslová škola, Odborná škola a Základní škola, Nové Město nad Metují#Československé armády 376, 549 01 Nové Město nad Metují#48623725#600024211#Mgr. Klára Barešová#příspěvková organizace#Královéhradecký kraj, Pivovarské náměstí 1245/2, 500 03 Hradec Králové#102730148#C00#Střední škola#Nové Město nad Metují#Československé armády#376.0##Nové Město nad Metují#54901.0##1400#Platné#110013557.0#H21#Internát#Nové Město nad Metují#Českých bratří#1035.0##Nové Město nad Metují#54901.0##265#Platné#110021274.0#H22#Domov mládeže#Nové Město nad Metují#Českých bratří#1035.0##Nové Město nad Metují#54901.0##342#Platné#110013565.0#L11#Školní jídelna#Nové Město nad Metují#Československé armády#428.0##Nové Město nad Metují#54901.0##600#Platné#150024762.0#B00#Základní škola#Nové Město nad Metují#Českých bratří#1035.0##Nové Město nad Metují#54901.0##70#Platné#110011694.0#G21#Školní družina#Nové Město nad Metují#Českých bratří#1035.0##Nové Město nad Metují#54901.0##24#Platné#181028794.0#L13#Školní jídelna - výdejna#Nové Město nad Metují#Husovo náměstí#1218.0##Nové Město nad Metují#54901.0##300.0#Platné#########################KÚ Královéhradeckého kraje#(50.351985, 16.153225)#Královéhradecký kraj
Základní škola a Praktická škola, Rychnov nad Kněžnou, Kolowratská 485#Kolowratská 485, 516 01 Rychnov nad Kněžnou#70152497#600024300#Mgr. Monika Stančeková#příspěvková organizace#Královéhradecký kraj, Pivovarské náměstí 1245/2, 500 03 Hradec Králové#110003501#B00#Základní škola#Rychnov nad Kněžnou#Kolowratská#485.0##Rychnov nad Kněžnou#51601.0##193#Platné#110003403.0#G21#Školní družina#Rychnov nad Kněžnou#Kolowratská#485.0##Rychnov nad Kněžnou#51601.0##54#Platné#181007304.0#C00#Střední škola#Rychnov nad Kněžnou#Kolowratská#485.0##Rychnov nad Kněžnou#51601.0##42#Platné#181140080.0#L13#Školní jídelna - výdejna#Rychnov nad Kněžnou#Českých bratří#1388.0##Rychnov nad Kněžnou#51601.0##20#Platné#############################################################KÚ Královéhradeckého kraje#(50.1652563, 16.2744625)#Královéhradecký kraj
